,first_name,last_name,city,country,CustomerRevenue,NumOrders,FirstTouchTrafficSource,Recency,AvgPurchaseInterval
78,Joseph,Ward,Lehmkuhlen,Germany,725.8000087738037,8,Search,2025-03-04 07:16:49+00:00,85.0
79,Megan,Rodriguez,Senhor do Bonfim,Brasil,723.0,2,Facebook,2025-09-04 11:45:32+00:00,5.0
80,Kristin,Mann,Berlin,Germany,716.9899978637695,4,Search,2024-05-01 04:51:20+00:00,
81,Steven,Cook,Fishers,United States,716.5799922943115,6,Organic,2025-06-15 04:18:17+00:00,25.0
82,Logan,Jackson,Guiyang,China,715.6900005340576,2,Search,2025-10-03 14:19:44+00:00,
83,Joseph,Hodge,New York,United States,712.4500122070312,4,Search,2023-03-05 02:18:36+00:00,
84,Terry,Tucker,Saint-Cyr-l'École,France,700.1999912261963,4,Search,2025-02-09 06:57:09+00:00,1163.0
85,Carl,Bass,Warragul,Australia,699.9500007629395,2,Search,2025-10-02 02:08:46.130056+00:00,
86,Amanda,Floyd,Busan,South Korea,698.0,1,Organic,2025-05-15 07:12:51+00:00,
87,Jeffery,Jenkins,New Malden,United Kingdom,698.0,1,Organic,2023-04-23 09:23:50+00:00,
88,Marco,Lopez,Chengdu,China,698.0,1,Search,2025-04-29 23:09:24+00:00,
89,Stacy,Best,Dongguan,China,698.0,1,Organic,2025-07-09 17:49:30+00:00,
90,Johnny,Martin,Shenzhen,China,695.4900054931641,4,Search,2022-01-30 05:25:23+00:00,787.0
91,Donna,Green,Meizhou,China,695.0,1,Search,2025-09-29 07:59:39+00:00,
92,Claire,Stout,Cleveland,United States,695.0,1,Search,2025-03-24 09:20:21+00:00,
93,Erika,Williams,Rio de Janeiro,Brasil,690.930004119873,5,Search,2024-06-12 15:55:35+00:00,224.0
94,Ronald,Wheeler,Bannockburn,Australia,687.9899997711182,4,Facebook,2023-03-18 05:27:15+00:00,327.0
95,Zachary,Meyers,Quanzhou,China,685.9500007629395,2,Search,2023-08-02 09:22:19+00:00,
96,Timothy,Gomez,Las Vegas,United States,680.3800010681152,2,Search,2025-09-20 12:55:45+00:00,
97,Zachary,Gonzalez,Altenburg,Germany,665.9400062561035,5,Search,2025-07-03 02:45:10+00:00,235.5
98,John,Miles,Boston,United States,662.9800071716309,7,Search,2024-10-20 22:33:26+00:00,717.5
99,Jason,Hurst,Beijing,China,654.9300003051758,4,Search,2025-08-13 04:54:34+00:00,439.0
100,Rick,Smith,Suzhou,China,653.4900016784668,4,Organic,2024-04-26 01:38:44+00:00,
101,Joseph,Pugh,Horizon West,United States,652.5,5,Search,2023-12-08 03:32:24+00:00,579.0
102,Laura,Mendoza,Xining,China,651.980001449585,5,Facebook,2023-10-03 08:09:56+00:00,581.0
103,Scott,Mendoza,Guangzhou,China,650.9700088500977,7,Search,2024-08-04 12:15:46+00:00,106.5
104,Patrick,Lewis,Seoul,South Korea,650.9500007629395,4,Search,2025-09-21 01:06:37+00:00,120.0
105,Howard,Smith,Uberlândia,Brasil,650.0,1,Display,2025-09-02 16:59:25+00:00,
106,Jason,Davis,Beijing,China,649.3699970245361,6,Search,2025-07-23 03:00:48+00:00,552.0
107,Jessica,James,Castelldefels,Spain,649.0,4,Search,2024-09-04 15:16:49+00:00,
108,Terri,Baker,Xingtai,China,645.4199981689453,6,Search,2025-04-22 16:39:36+00:00,1284.0
109,Laura,Terry,Beijing,China,645.1700048446655,7,Search,2025-05-26 09:05:10+00:00,223.5
110,Steven,Mckenzie,Busan,South Korea,644.0,4,Search,2024-03-09 04:43:29+00:00,
111,Elizabeth,Williams,Aalst,Belgium,641.9899978637695,3,Search,2024-04-14 06:22:51+00:00,
112,Janet,Jones,Ogden,United States,633.5,4,Search,2022-01-15 10:31:13+00:00,
113,Christian,Atkins,Shanghai,China,633.4699821472168,4,Display,2025-06-11 08:03:27+00:00,529.0
114,Jason,Boyd,Houston,United States,627.9300079345703,4,Search,2025-09-15 10:42:37+00:00,
115,Luke,Moore,Osaka City,Japan,625.0,1,Organic,2022-12-27 11:07:48+00:00,
116,Jose,Baker,Matsuma City,Japan,623.4699974060059,4,Search,2024-02-04 11:33:38+00:00,293.0
117,Eric,Bell,Four-stage,China,620.8699903488159,4,Search,2025-03-22 04:03:24+00:00,
118,Jack,Taylor,Nashville,United States,620.1200008392334,4,Search,2025-01-16 16:02:47+00:00,
119,Elizabeth,Lopez,Coria,Spain,619.0,2,Search,2025-07-26 10:19:13+00:00,
120,Susan,Collins,Xinxiang,China,618.0,2,Search,2020-05-31 00:59:19+00:00,
121,Christian,Stevenson,Jingmen,China,617.4900054931641,3,Search,2024-07-31 08:33:38+00:00,57.0
122,Thomas,Brown,Beckenham,United Kingdom,614.1300048828125,7,Search,2024-05-21 07:56:11+00:00,711.0
123,John,Freeman,Phoenix,United States,613.5,4,Search,2024-11-23 22:50:28+00:00,
124,Mark,Johnson,Rochdale,United Kingdom,613.2899971008301,8,Organic,2025-08-07 09:27:17+00:00,793.5
125,Patrick,Morris,Cambridge,United Kingdom,610.8700065612793,5,Search,2025-09-25 11:24:42+00:00,43.0
126,Robert,Hammond,Fuzhou,China,609.9899978637695,3,Search,2025-01-22 01:25:05+00:00,
127,Mckenzie,Oconnor,Wuppertal,Germany,609.6300172805786,8,Search,2025-09-14 03:44:34+00:00,373.0
128,Jeremiah,Barnett,Belfast,United Kingdom,608.1099996566772,4,Search,2023-02-01 23:28:20+00:00,
129,Bob,Howard,Löbau,Germany,607.9800033569336,6,Search,2025-02-25 07:00:15+00:00,268.0
130,Bradley,Williams,Pflugerville,United States,607.2599830627441,7,Search,2023-09-05 16:31:35+00:00,366.6666666666667
131,Lori,Juarez,Fresno,United States,606.9500007629395,3,Organic,2025-03-31 00:48:34+00:00,
132,Angela,Wilkins,Serrinha,Brasil,605.0,2,Search,2025-09-18 02:36:52+00:00,327.0
133,Allison,Hale,Jieyang,China,604.5100021362305,3,Search,2025-02-17 02:09:34+00:00,
134,Daniel,Castaneda,Peoria,United States,604.0,2,Search,2023-07-10 07:26:23+00:00,
135,Mary,Brandt,Acaraú,Brasil,602.4700088500977,4,Email,2024-06-12 11:56:32+00:00,
136,David,Barnes,Bucheon City,South Korea,601.4699993133545,6,Search,2023-04-01 07:28:17+00:00,229.0
137,Dale,Nielsen,Liverpool,United Kingdom,600.9799919128418,4,Search,2025-09-07 08:48:54+00:00,29.0
138,Diane,Berry,Springdale,United States,600.0,2,Search,2025-02-22 07:08:12+00:00,
139,Joseph,Gates,Vassouras,Brasil,600.0,1,Email,2024-10-27 00:01:35+00:00,
140,Janet,Martinez,Rogers,United States,599.0,1,Display,2025-07-14 10:09:50+00:00,
141,Ariel,Miller,Harbin,China,599.0,2,Search,2023-04-25 13:32:02+00:00,281.0
142,Denise,Bartlett,Merrick,United States,599.0,1,Facebook,2024-12-17 22:39:57+00:00,
143,Brian,Barron,Ganzhou,China,598.0,1,Facebook,2025-09-15 03:13:24+00:00,
144,Judith,Pham,Hohhot,China,598.0,1,Search,2025-05-03 18:00:28+00:00,
145,David,Bradley,Schneverdingen,Germany,598.0,1,Search,2025-09-08 07:52:45+00:00,
146,Michael,Lewis,Belém,Brasil,598.0,1,Search,2024-06-10 11:29:23+00:00,
147,Natasha,Benson,São Paulo,Brasil,598.0,4,Search,2025-06-03 03:39:53+00:00,1294.0
148,Jared,Mitchell,Joplin,United States,597.9900016784668,2,Organic,2023-08-19 09:57:29+00:00,
149,Karla,Rivas,Uijeongbuxi,South Korea,597.6300010681152,2,Search,2023-08-24 23:17:43+00:00,
150,Francisco,Brown,Breves,Brasil,596.699987411499,7,Facebook,2025-09-29 12:53:15+00:00,13.0
151,Tiffany,Kelly,Los Angeles,United States,595.0,1,Search,2024-11-14 03:36:17+00:00,
152,Samantha,Fox,Greensburg,United States,595.0,1,Search,2024-07-23 07:52:46+00:00,
153,Ashley,Martinez,San Marcos,United States,595.0,1,Facebook,2025-01-22 14:25:01+00:00,
154,Amanda,Edwards,Southeast Miao Dai Autonomous Prefecture,China,594.3499984741211,5,Search,2025-06-01 12:29:36+00:00,156.0
155,Frank,Bond,Épinal,France,589.9499969482422,5,Display,2025-07-15 07:07:46+00:00,620.0
156,Michele,Ferguson,Springfield,United States,588.0,1,Facebook,2023-07-24 09:16:10+00:00,
157,Eric,Roberts,Dalian,China,587.129997253418,4,Search,2025-03-26 23:49:11+00:00,
158,Amy,Grant,Houston,United States,586.9799976348877,4,Search,2021-05-13 17:38:19+00:00,367.0
159,Jose,Sullivan,Uccle,Belgium,586.9400024414062,4,Search,2025-10-01 23:56:12+00:00,
160,Emily,Harmon,Chengdu,China,581.4900016784668,4,Search,2023-10-12 13:04:18+00:00,278.0
161,Andrew,Williamson,Tianjin,China,578.4499969482422,3,Search,2025-02-18 06:49:16+00:00,312.0
162,David,Campbell,East Kilbride,United Kingdom,578.0,4,Organic,2023-03-19 08:34:58+00:00,
163,Ryan,Weiss,Dalian,China,575.0,1,Search,2025-09-06 13:26:14+00:00,
164,Tyler,Garcia,Spokane,United States,575.0,1,Organic,2024-10-11 16:14:03+00:00,
165,Gregory,Burns,Fuzhou,China,573.0300006866455,8,Search,2023-10-18 12:13:55+00:00,201.0
166,Matthew,Kelly,Canton,United States,573.0,2,Search,2024-04-13 14:33:28+00:00,
167,Brandon,Foley,Zhengzhou,China,571.5,5,Search,2024-07-18 22:46:06+00:00,383.0
168,Maureen,Adams,Xingtai,China,570.0,2,Search,2025-09-21 16:06:02+00:00,0.0
169,Jacob,Barrett,Pacy-sur-Eure,France,569.5499992370605,2,Organic,2023-12-13 03:07:03+00:00,
170,Ian,Eaton,Xingtai,China,567.9900054931641,2,Search,2025-09-29 11:30:00.897563+00:00,0.0
171,Shawna,Johnson,Nanjing,China,564.7200002670288,3,Search,2025-03-28 23:40:22+00:00,113.0
172,Blake,Terry,Dongguan,China,562.0399980545044,5,Search,2025-08-21 06:00:17+00:00,156.0
173,Julia,Manning,Perrysburg,United States,558.9899997711182,3,Search,2024-04-26 22:23:25+00:00,12.0
174,Ronald,Myers,Chengdu,China,558.9599990844727,3,Search,2025-09-28 13:47:35+00:00,467.0
175,Brooke,Sawyer,Heist-op-den-Berg,Belgium,558.75,6,Search,2024-10-18 05:21:38+00:00,428.5
176,Lisa,Smith,Goianésia,Brasil,558.2200012207031,4,Search,2023-11-13 14:28:23+00:00,
177,Rebecca,Esparza,Wenzhou,China,558.2100028991699,4,Search,2025-03-15 01:54:59+00:00,
178,Karina,Nguyen,Llinars del Vallès,Spain,557.9500007629395,3,Search,2024-12-11 12:47:45+00:00,
179,James,Williams,Haikou,China,556.3099975585938,2,Search,2025-05-25 07:48:02+00:00,
180,Jason,Miller,Tongren,China,555.4900016784668,4,Search,2025-08-09 04:02:38+00:00,
181,Debbie,Long,San Jose,United States,554.0,3,Search,2025-05-23 11:50:52+00:00,
182,Megan,Davis,Santa Rita,Brasil,553.9900054931641,3,Search,2025-06-14 13:11:18+00:00,
183,Nicholas,Hansen,Stockton-on-Tees,United Kingdom,553.9299964904785,4,Organic,2023-11-20 06:02:52+00:00,67.5
184,Sandra,Evans,Macaé,Brasil,553.6800084114075,5,Search,2023-07-17 13:04:01+00:00,867.0
185,Caleb,Griffith,Singen (Hohentwiel),Germany,553.3300018310547,5,Search,2024-09-26 22:34:23+00:00,158.33333333333334
186,Krystal,Foster,West Warwick,United States,552.0,3,Organic,2021-07-07 14:27:35+00:00,96.0
187,Ernest,Davis,Leavenworth,United States,550.9500007629395,2,Search,2025-05-25 02:37:18+00:00,
188,Richard,Fleming,Harbin,China,550.8699932098389,5,Search,2025-10-04 17:45:59.154461+00:00,0.0
189,Bryan,Wood,Sydney,Australia,548.929988861084,4,Search,2025-10-03 10:08:11.200636+00:00,
190,Michelle,Garcia,North Richland Hills,United States,548.060001373291,4,Search,2025-01-05 09:37:15+00:00,
191,Kelsey,Taylor,Paju City,South Korea,547.9799995422363,4,Search,2024-11-26 18:00:51+00:00,
192,Samantha,Norris,El Puerto de Santa María,Spain,546.7799987792969,3,Search,2022-04-08 00:47:26+00:00,
193,Eric,Brooks,Fort Worth,United States,546.5500011444092,9,Organic,2025-04-09 08:38:08+00:00,195.33333333333334
194,Gregory,Edwards,Matsue,Japan,545.8800029754639,6,Search,2025-06-29 11:48:28+00:00,216.0
195,Joseph,Jones,Germering,Germany,545.8599967956543,4,Search,2025-09-23 01:11:10+00:00,1.0
196,Dylan,Cruz,Berlin,Germany,545.4799919128418,4,Search,2025-08-08 01:33:31+00:00,
197,Diana,Lewis,Qinzhou,China,544.9899997711182,4,Search,2025-01-13 15:06:45+00:00,
198,Sara,Shaw,Parker,United States,544.9699974060059,3,Search,2024-02-04 07:29:58+00:00,516.0
199,Heather,Collins,Saint-Didier-de-la-Tour,France,544.9500007629395,4,Search,2025-09-02 14:15:20+00:00,
200,Stephen,Ingram,Campinas,Brasil,543.4600009918213,3,Search,2025-05-30 00:44:08+00:00,
201,Joshua,Smith,Jiaxing,China,542.8900032043457,4,Email,2025-03-03 15:55:52+00:00,571.0
202,Tina,Wright,München,Germany,541.0800018310547,3,Search,2024-05-21 07:49:51+00:00,276.0
203,Margaret,Stone,Suqian,China,539.6500034332275,4,Search,2025-07-25 07:09:17+00:00,
204,Paul,Fields,Karlsruhe,Germany,539.0,2,Search,2025-07-26 11:20:34+00:00,180.0
205,Steven,Terry,Virginia Beach,United States,536.3699989318848,4,Search,2024-03-17 08:29:24+00:00,480.0
206,Laura,Moyer,New Albany,United States,535.8699989318848,3,Search,2025-01-15 16:14:59+00:00,
207,Lisa,Carter,Oxnard,United States,534.8000030517578,4,Organic,2024-09-29 10:15:54+00:00,
208,Kevin,Weber,El Villar,Spain,534.4900016784668,4,Search,2025-08-20 10:54:00+00:00,
209,Sharon,Duran,Barra do Corda,Brasil,532.9400005340576,6,Search,2023-07-10 01:19:40+00:00,220.5
210,Patricia,Nicholson,Itarema,Brasil,532.1099948883057,4,Organic,2025-05-28 07:23:21+00:00,
211,Brian,Baker,Ludwigsburg,Germany,531.8800010681152,3,Search,2025-02-14 00:02:51+00:00,102.0
212,Teresa,Washington,Néron,France,531.4399995803833,5,Organic,2025-04-30 00:26:48+00:00,80.5
213,Melissa,Jensen,Urumqi,China,530.4799976348877,4,Email,2023-10-31 10:44:10+00:00,570.0
214,Mark,Morales,Brisbane,Australia,530.3399887084961,4,Email,2025-10-04 14:29:09.286593+00:00,
215,Michael,Robertson,Chengdu,China,528.9800052642822,5,Search,2024-05-16 10:36:00+00:00,1074.0
216,Alejandra,Browning,Seoul,South Korea,528.1399993896484,3,Search,2024-01-25 07:18:37+00:00,
217,Oscar,Reynolds,Fortaleza,Brasil,526.9899978637695,4,Facebook,2024-07-02 07:50:25+00:00,
218,Erica,Jackson,Zhengzhou,China,526.1000061035156,3,Organic,2019-01-20 01:19:06+00:00,
219,Colleen,Mendoza,Aurora do Pará,Brasil,524.8399982452393,4,Organic,2024-05-22 15:11:25+00:00,
220,Eric,Bartlett,Johnsburg,United States,524.0700035095215,4,Facebook,2024-01-10 13:26:40+00:00,0.0
221,James,Haynes,Nashville,United States,523.0,3,Organic,2025-09-24 12:25:20+00:00,
222,Lauren,Braun,Atlanta,United States,522.9899978637695,3,Organic,2025-06-04 03:17:32+00:00,521.0
223,Christopher,Rivera,Qingdao,China,521.4400062561035,4,Search,2024-08-13 09:11:35+00:00,
224,Roger,Parks,Daegu Metropolitan City,South Korea,520.2799835205078,4,Search,2023-12-30 22:37:24+00:00,
225,Todd,Mccormick,London,United Kingdom,519.2900009155273,6,Organic,2025-01-10 08:14:15+00:00,232.0
226,David,Ortiz,London,United Kingdom,518.9599990844727,4,Organic,2025-08-09 09:50:10+00:00,
227,Jennifer,Martin,NanNing,China,518.769998550415,4,Search,2025-09-12 23:29:40+00:00,
228,William,Santos,Piqua,United States,518.5,4,Organic,2021-02-06 06:59:23+00:00,
229,Barbara,Mullins,London,United States,518.5,8,Search,2025-02-17 10:04:18+00:00,1624.0
230,Lisa,Davis,Harbin,China,518.2699890136719,5,Email,2025-09-12 03:35:49+00:00,118.0
231,Cynthia,Cardenas,Beijing,China,517.6500015258789,8,Facebook,2024-02-12 07:31:05+00:00,316.0
232,Brandi,Banks,Datong,China,517.3999996185303,4,Facebook,2024-08-04 17:48:23+00:00,
233,Brian,Miranda,Boulogne-Billancourt,France,514.9299945831299,6,Search,2025-02-27 06:31:11+00:00,397.0
234,Lucas,Lowe,Perth,Australia,514.2099990844727,3,Search,2019-12-03 12:05:38+00:00,
235,Danny,Morgan,Elizabethtown,United States,514.0,2,Search,2024-05-17 17:41:56+00:00,
236,Arthur,Flores,Hefei,China,513.9799995422363,4,Search,2024-10-12 11:22:50+00:00,
237,Justin,Quinn,null,Brasil,513.9499969482422,4,Search,2025-07-21 03:29:45+00:00,
238,Ashley,Woods,Melbourne,Australia,513.0,3,Search,2025-04-16 05:29:05+00:00,618.0
239,Daniel,Gonzalez,Houston,United States,511.6799964904785,4,Display,2025-05-12 07:17:03+00:00,188.0
240,Breanna,Vance,Southampton,United Kingdom,510.5699996948242,3,Search,2024-02-07 13:38:35+00:00,922.0
241,Shaun,Reeves,Garfield,United States,508.5599994659424,4,Search,2021-04-16 02:16:22+00:00,
242,Robert,Allen,Hohhot,China,507.9299964904785,4,Search,2023-01-04 15:21:35+00:00,835.0
243,Donna,Rose,Busan,South Korea,507.74000549316406,7,Search,2024-05-19 09:09:52+00:00,210.0
244,Lauren,Hatfield,Brunete,Spain,504.7600040435791,6,Search,2025-09-24 02:29:18+00:00,3.0
245,Mary,Morgan,Statesville,United States,504.74000549316406,5,Search,2024-02-16 13:14:00+00:00,193.0
246,Alexander,Powell,Jacksonville,United States,503.02999687194824,7,Search,2025-10-03 14:16:14.057893+00:00,0.5
247,Dana,Williams,São Luís,Brasil,503.0,2,Search,2025-06-04 10:45:39+00:00,
248,Tiffany,White,Denton,United States,503.0,2,Search,2025-07-07 01:52:34+00:00,343.0
249,Ashley,Hicks,Union,United States,501.1699962615967,4,Search,2024-07-18 14:57:06+00:00,
250,Joseph,Andrade,Kaifeng,China,500.1800022125244,6,Search,2024-12-07 13:39:44+00:00,399.0
251,Robert,Ward,Chongqing,China,499.95000076293945,2,Search,2025-10-01 06:34:45+00:00,
252,Douglas,Webb,Dresden,Germany,499.94000244140625,4,Email,2023-10-27 02:01:11+00:00,
253,Michael,Roberts,Lille,France,498.95001220703125,2,Display,2024-12-17 06:14:28+00:00,408.0
254,Roger,Martinez,Jilin,China,497.9900016784668,4,Search,2025-09-01 05:40:08+00:00,
255,Frank,Reid,Rochdale,United Kingdom,495.9499912261963,4,Search,2025-10-03 03:46:09+00:00,
256,Juan,Benitez,Saint Paul,United States,495.9199981689453,5,Search,2025-09-11 13:10:25+00:00,38.0
257,Benjamin,Rodriguez,Seoul,South Korea,495.439998626709,5,Display,2025-07-19 12:49:54+00:00,361.0
258,Emily,Jackson,Palmdale,United States,495.0,1,Search,2025-07-23 07:07:13+00:00,
259,Julie,Bradley,Tamarac,United States,495.0,1,Search,2024-02-24 03:31:48+00:00,
260,Jamie,Adams,Suwon City,South Korea,495.0,1,Search,2025-08-11 14:36:11+00:00,
261,Sean,Santiago,Gimhae City,South Korea,495.0,1,Search,2025-03-04 23:19:41+00:00,
262,Melody,Hayes,Zhangzhou,China,495.0,1,Search,2023-09-14 08:26:11+00:00,
263,Lisa,Turner,Fréjus,France,495.0,1,Facebook,2022-08-30 10:14:06+00:00,
264,Brian,Cruz,Shanghai,China,495.0,1,Search,2024-12-16 01:53:33+00:00,
265,Sherry,Valentine,Qiqihar,China,494.9900016784668,4,Search,2025-10-03 04:23:56.110660+00:00,
266,Micheal,Roy,New York,United States,494.9299926757812,2,Organic,2021-03-01 03:21:27+00:00,
267,Martin,Valenzuela,Yiyang,China,494.64000129699707,4,Search,2024-03-24 00:07:45+00:00,
